analysis,window,mean_pc1_explained,mean_participation_ratio
latent_observed,early_pre_response,0.5590866998392947,2.589247373068882
latent_observed,mid_pre_response,0.5439907843008468,2.6463912985445686
latent_observed,late_pre_response,0.5928450420494035,2.4070254993988587
latent_observed,peri_response_contaminated,0.5878169637809915,2.4234666168036103
latent_time_shuffle,early_pre_response,0.528186362884848,2.8052280316638276
latent_time_shuffle,mid_pre_response,0.5315315210074001,2.7885047744851317
latent_time_shuffle,late_pre_response,0.5233125832030905,2.8567315225309304
latent_time_shuffle,peri_response_contaminated,0.5410663168516465,2.7563734225359595
latent_trial_shuffle,early_pre_response,0.15768645690905098,11.809977498679437
latent_trial_shuffle,mid_pre_response,0.15759932195802281,11.697996624663277
latent_trial_shuffle,late_pre_response,0.1660067003123038,11.052019596704552
latent_trial_shuffle,peri_response_contaminated,0.16704081414667912,10.998352572551713
raw_cpp_observed,early_pre_response,0.9017248206896046,1.2191527392168806
raw_cpp_observed,mid_pre_response,0.9016733826192116,1.2205615507818997
raw_cpp_observed,late_pre_response,0.9088264882969825,1.2017840381670029
raw_cpp_observed,peri_response_contaminated,0.892595541341791,1.2416598586569614
