latent_trial_index,cpp_late_amplitude,cpp_pre_response_slope,cpp_pre_response_auc
0,-3.621953510446474e-06,-2.330451840944332e-08,0.00033903678691882657
1,-1.7522595499031013e-06,-5.361425408992029e-09,-0.0005899073949378488
2,5.2357822823978495e-06,4.466043650295053e-09,0.0018593356348491116
3,6.513650077977218e-06,-1.666546373855071e-09,0.0038100417613711438
4,-6.3714501266076695e-06,-1.6456746761358537e-08,0.00017651405283125045
5,-2.9186724148644316e-08,-8.159259488315464e-09,0.00046632236291305266
6,-1.6994667930703145e-06,-1.4709228303563204e-09,-0.0001793959259449559
7,-2.927059085777728e-06,-1.7781008412887878e-09,-0.0014268969113447802
8,3.4992763175978325e-07,-6.818248914735494e-10,6.174138721042468e-05
9,8.799001420811692e-07,3.5813874042089114e-10,-0.0002926497051484152
10,-1.6450339899165556e-06,4.239317933861551e-09,0.00010046562015724792
11,1.0880868330787052e-06,-8.001384618152955e-09,0.0017653652097873597
12,-3.6429560168471653e-06,-4.241583792033461e-09,-0.0008957079968332175
13,-2.0710988337668823e-06,-9.266950394897073e-09,4.191228425571756e-05
14,3.928655587515095e-06,1.0323014186305339e-08,0.0005478767577525869
15,4.957903456670465e-06,-2.060652875762627e-09,0.0011065956515413163
16,2.6148829874728108e-06,4.928201982390096e-09,-5.917487508145386e-05
17,7.394221938739065e-06,8.051704107406314e-09,0.0029274009568524464
18,3.5953951282863272e-06,8.227401532170428e-09,0.0013245714707253683
19,-2.4647927148180315e-06,-1.7182565460506917e-09,-0.001884193369847496
20,2.0882062017335556e-06,5.246921135607098e-09,0.0002274820601545157
21,1.4545757665018755e-07,-4.155832493325729e-10,-0.0004005528190710832
22,4.0755858208285645e-06,-6.0063912819714935e-09,0.0015058869954074627
23,3.1560946354147745e-06,8.955132915614952e-09,-0.0008806188271578788
24,-2.4598275558673777e-06,1.0231851810188811e-08,-0.002048943100114704
25,1.134695182258838e-07,-5.567519849303721e-09,-0.0015812684902036843
26,4.6137561184877995e-06,1.6369352170152073e-08,-0.00022943482023517377
27,-3.0329219953273423e-06,5.033484790440515e-09,-0.0011836926856051255
28,-6.382734227372566e-06,-2.2732368836362545e-08,0.0006302327119454719
29,3.4992763175978325e-07,-6.818248914735494e-10,6.174138721042468e-05
30,-1.909552338474896e-06,6.545791282666223e-09,-0.004206862490018509
31,3.4992763175978325e-07,-6.818248914735494e-10,6.174138721042468e-05
32,1.2847153811890166e-06,3.0185675865974257e-09,-0.0009681631495214475
33,-1.4921232605047408e-06,-9.286555540149009e-09,0.0007245223335660841
34,1.535325850454683e-06,4.388076856435654e-09,-0.001432054882922659
35,-1.8804031469699112e-06,-4.308155633700982e-09,-4.524928698163602e-05
36,1.754341155901784e-06,-3.2723285840665314e-09,0.0016274724166892222
37,6.421752232199651e-07,2.008165577988919e-08,-0.0009705881945096754
38,3.626103932674596e-07,-9.935100371465071e-09,0.0023170097924794628
