pc,score_window,target,pearson_r,linear_r2
PC1,pc_late_score,cpp_late_amplitude,0.2790511862359644,0.07786956453969873
PC1,pc_late_score,cpp_pre_response_slope,0.14851046778872984,0.022055359042827516
PC1,pc_late_score,cpp_pre_response_auc,0.18439489893520344,0.03400147875332382
PC1,pc_pre_response_mean_score,cpp_late_amplitude,0.2230500622504301,0.049751330269920735
PC1,pc_pre_response_mean_score,cpp_pre_response_slope,-0.027522766767086156,0.0007575026905153326
PC1,pc_pre_response_mean_score,cpp_pre_response_auc,0.3446420699549533,0.11877815638283462
PC2,pc_late_score,cpp_late_amplitude,0.02562406589934833,0.0006565927532139471
PC2,pc_late_score,cpp_pre_response_slope,0.01180063224924447,0.0001392549214820349
PC2,pc_late_score,cpp_pre_response_auc,0.06984113667989254,0.0048777843727394465
PC2,pc_pre_response_mean_score,cpp_late_amplitude,-0.010388200418373577,0.00010791470793236613
PC2,pc_pre_response_mean_score,cpp_pre_response_slope,-0.007473182121901242,5.5848451027240564e-05
PC2,pc_pre_response_mean_score,cpp_pre_response_auc,0.04391487511636016,0.0019285162564852687
PC3,pc_late_score,cpp_late_amplitude,0.06741671510033201,0.004545013474919202
PC3,pc_late_score,cpp_pre_response_slope,0.015310811253965924,0.00023442094125469826
PC3,pc_late_score,cpp_pre_response_auc,0.0838033542457502,0.007023002182838689
PC3,pc_pre_response_mean_score,cpp_late_amplitude,0.01496174602117344,0.00022385384400192
PC3,pc_pre_response_mean_score,cpp_pre_response_slope,0.0750642292213774,0.0056346385085994655
PC3,pc_pre_response_mean_score,cpp_pre_response_auc,-0.08698378511288167,0.0075661788725639445
